disc_year,disc_facility,pl_name,pl_rade,pl_bmasse,hostname,sy_pnum,sy_snum
2016,Ground,LHS-583b,2.03,9.85,LHS-583,2,2
2017,Spitzer,Kepler-594e,0.99,24.61,Kepler-594,5,1
2012,Spitzer,HD-12f,3.82,35.8,HD-12,3,1
2018,TESS,HD-900e,4.01,8.72,HD-900,3,2
2024,TESS,HD-851c,0.63,15.25,HD-851,6,1
2015,Kepler,WASP-760f,1.81,49.5,WASP-760,1,1
2018,Hubble,TOI-580f,3.48,27.14,TOI-580,2,2
2015,TESS,HD-291f,3.86,34.29,HD-291,1,1
2024,Ground,TRAPPIST-596c,0.93,32.22,TRAPPIST-596,2,2
2012,Spitzer,Kepler-348d,4.17,46.21,Kepler-348,3,1
2018,Hubble,LHS-33b,4.01,33.38,LHS-33,7,2
2021,TESS,LHS-851f,0.9,33.06,LHS-851,4,2
2019,TESS,HD-123d,4.87,49.31,HD-123,8,1
2012,Kepler,LHS-259b,2.63,13.73,LHS-259,1,2
2010,Spitzer,TOI-923e,0.68,8.57,TOI-923,6,2
2019,Kepler,TOI-136c,4.11,4.44,TOI-136,4,2
2011,TESS,WASP-892e,1.92,48.97,WASP-892,2,1
2024,Ground,HD-196e,3.93,20.13,HD-196,1,2
2014,Spitzer,LHS-864d,2.95,18.47,LHS-864,2,2
2020,James Webb,LHS-255c,2.34,36.33,LHS-255,4,1
2020,Hubble,TRAPPIST-433c,2.4,3.89,TRAPPIST-433,6,1
2010,Spitzer,TRAPPIST-957e,3.4,13.83,TRAPPIST-957,8,1
2024,Kepler,WASP-437c,3.35,43.91,WASP-437,2,1
2019,Ground,Kepler-275d,1.09,8.28,Kepler-275,3,1
2022,Hubble,LHS-31e,0.89,1.82,LHS-31,2,1
2024,Hubble,Kepler-7f,2.69,18.58,Kepler-7,7,1
2017,TESS,TRAPPIST-877e,4.12,18.75,TRAPPIST-877,4,1
2012,Hubble,WASP-364f,1.81,8.38,WASP-364,8,2
2022,Kepler,TOI-560e,3.8,18.23,TOI-560,8,2
2016,Hubble,TRAPPIST-310c,3.49,48.85,TRAPPIST-310,3,1
2017,TESS,LHS-635d,2.29,14.0,LHS-635,7,1
2014,Ground,WASP-647e,2.1,15.25,WASP-647,6,2
2024,Kepler,LHS-327f,2.58,7.88,LHS-327,7,2
2018,Spitzer,TRAPPIST-232f,2.87,25.57,TRAPPIST-232,3,2
2017,Ground,TOI-897c,3.48,22.23,TOI-897,6,2
2014,Ground,TOI-878c,2.66,38.11,TOI-878,2,1
2015,James Webb,HD-537f,1.96,11.11,HD-537,5,1
2021,Ground,TRAPPIST-568f,1.87,9.04,TRAPPIST-568,1,2
2014,Hubble,TRAPPIST-564d,3.46,16.27,TRAPPIST-564,3,1
2010,James Webb,HD-673e,3.81,31.93,HD-673,8,2
2018,Kepler,HD-960b,2.47,46.07,HD-960,5,1
2018,Spitzer,HD-36c,0.6,1.03,HD-36,1,1
2015,Kepler,TOI-388e,1.46,19.96,TOI-388,2,1
2021,Ground,LHS-854c,2.1,15.92,LHS-854,5,1
2010,James Webb,TOI-511c,0.93,2.3,TOI-511,7,2
2016,Hubble,Kepler-28c,3.34,30.45,Kepler-28,8,1
2024,Kepler,WASP-652b,1.9,21.74,WASP-652,8,2
2010,TESS,HD-276e,1.67,4.88,HD-276,8,1
2023,Ground,TRAPPIST-936c,2.39,18.36,TRAPPIST-936,6,2
2024,Kepler,LHS-666f,4.95,27.56,LHS-666,4,1
2019,James Webb,TRAPPIST-774d,3.21,1.07,TRAPPIST-774,7,2
2011,Ground,WASP-459e,2.16,32.63,WASP-459,4,2
2023,Ground,LHS-625e,1.14,5.32,LHS-625,6,2
2022,TESS,Kepler-88c,1.91,2.48,Kepler-88,3,1
2022,James Webb,WASP-688c,3.39,10.14,WASP-688,1,2
2013,Spitzer,Kepler-177f,3.02,46.26,Kepler-177,6,2
2013,Hubble,TOI-153e,3.88,9.23,TOI-153,8,1
2019,Kepler,LHS-508f,1.25,11.12,LHS-508,5,2
2020,James Webb,TRAPPIST-298e,2.09,24.53,TRAPPIST-298,4,2
2010,Kepler,WASP-679c,0.78,8.99,WASP-679,1,2
2011,Kepler,TOI-682d,2.67,14.45,TOI-682,3,1
2020,Spitzer,WASP-878b,1.86,26.65,WASP-878,6,1
2015,Kepler,HD-23d,1.27,0.61,HD-23,8,2
2019,Spitzer,Kepler-130b,1.39,4.63,Kepler-130,4,1
2016,TESS,HD-850b,1.62,15.05,HD-850,3,1
2016,Kepler,TRAPPIST-754e,3.07,10.87,TRAPPIST-754,8,2
2024,Kepler,TRAPPIST-120d,2.1,45.48,TRAPPIST-120,8,1
2020,Hubble,Kepler-198c,3.99,26.75,Kepler-198,3,1
2017,Spitzer,HD-704d,1.7,25.78,HD-704,5,1
2012,Hubble,HD-51d,4.14,31.3,HD-51,7,1
2024,Ground,TRAPPIST-955d,2.09,27.61,TRAPPIST-955,7,2
2023,TESS,WASP-473f,4.23,12.32,WASP-473,8,2
2017,Spitzer,HD-63c,4.43,25.57,HD-63,6,2
2015,Kepler,TOI-664e,0.74,24.87,TOI-664,1,2
2021,James Webb,TRAPPIST-945f,4.62,38.25,TRAPPIST-945,8,2
2023,TESS,TRAPPIST-573e,3.58,10.89,TRAPPIST-573,8,1
2017,Hubble,WASP-530f,0.56,0.3,WASP-530,6,1
2024,TESS,HD-128d,4.78,5.61,HD-128,4,1
2023,James Webb,LHS-269d,4.83,38.28,LHS-269,1,2
2016,Kepler,WASP-309f,1.59,47.24,WASP-309,7,1
2012,Spitzer,HD-675c,0.75,4.65,HD-675,4,2
2016,Ground,TRAPPIST-291c,2.52,4.96,TRAPPIST-291,1,1
2023,Ground,TRAPPIST-362d,3.4,15.02,TRAPPIST-362,6,2
2015,TESS,Kepler-649d,4.86,12.66,Kepler-649,2,2
2016,Spitzer,LHS-276d,3.07,28.64,LHS-276,3,2
2019,Hubble,TOI-403d,2.89,33.05,TOI-403,7,1
2021,Kepler,WASP-187d,2.87,38.49,WASP-187,8,1
2014,Hubble,HD-688c,2.11,34.95,HD-688,5,1
2022,James Webb,TOI-662c,4.69,44.68,TOI-662,3,2
2013,Kepler,Kepler-51d,4.33,4.96,Kepler-51,2,1
2020,Kepler,HD-565c,2.39,12.66,HD-565,5,2
2017,Hubble,TOI-886d,1.19,14.89,TOI-886,1,2
2013,Ground,LHS-135d,0.65,10.89,LHS-135,2,1
2016,Kepler,HD-748e,2.28,17.13,HD-748,7,1
2019,TESS,Kepler-89d,2.66,18.73,Kepler-89,8,1
2021,James Webb,TRAPPIST-996d,3.29,31.02,TRAPPIST-996,1,1
2016,Ground,TOI-354d,0.99,16.92,TOI-354,7,1
2015,Ground,WASP-720d,4.08,45.97,WASP-720,1,2
2021,Spitzer,WASP-896d,2.39,36.36,WASP-896,2,2
2021,Spitzer,HD-694b,4.22,43.3,HD-694,6,1
2015,Spitzer,LHS-935e,0.92,8.2,LHS-935,2,1
2011,TESS,HD-311f,1.84,44.58,HD-311,8,1
2011,Kepler,WASP-966e,4.13,31.54,WASP-966,3,1
2018,Kepler,HD-619b,3.57,7.41,HD-619,3,2
2020,Hubble,TRAPPIST-862c,4.09,32.96,TRAPPIST-862,3,2
2020,James Webb,WASP-959d,2.02,4.57,WASP-959,7,1
2015,Ground,LHS-863b,4.97,8.03,LHS-863,8,2
2018,Spitzer,TOI-805e,0.91,22.97,TOI-805,3,2
2012,Spitzer,WASP-869e,3.33,27.59,WASP-869,1,2
2021,James Webb,WASP-775d,4.86,31.34,WASP-775,1,1
2016,Hubble,Kepler-261d,2.32,0.84,Kepler-261,6,2
2013,Spitzer,TRAPPIST-622f,1.7,39.62,TRAPPIST-622,6,1
2015,TESS,LHS-883f,4.05,43.41,LHS-883,7,1
2010,Hubble,TOI-182e,3.13,33.37,TOI-182,6,1
2024,TESS,TOI-724c,4.57,36.22,TOI-724,5,1
2018,Ground,LHS-377f,2.74,33.96,LHS-377,7,2
2017,Kepler,HD-451e,4.78,14.51,HD-451,2,1
2014,Kepler,HD-222d,2.58,25.72,HD-222,5,1
2013,TESS,TRAPPIST-882f,3.84,12.49,TRAPPIST-882,3,1
2024,Ground,WASP-454e,4.51,14.75,WASP-454,4,2
2013,James Webb,WASP-717f,3.12,30.48,WASP-717,8,2
2017,Hubble,TOI-674d,0.63,31.31,TOI-674,6,2
2013,Ground,TOI-363e,2.66,17.05,TOI-363,4,2
2017,Hubble,TOI-958e,0.89,0.34,TOI-958,7,2
2015,Hubble,LHS-717f,1.05,8.42,LHS-717,8,1
2022,Spitzer,TRAPPIST-683b,4.04,20.77,TRAPPIST-683,4,2
2021,Ground,WASP-33f,4.72,38.32,WASP-33,2,1
2024,Kepler,TOI-330f,3.65,18.02,TOI-330,5,2
2022,Hubble,HD-423c,1.34,1.87,HD-423,6,2
2017,Spitzer,TRAPPIST-910d,3.71,1.53,TRAPPIST-910,1,2
2011,Hubble,TOI-883b,3.31,19.11,TOI-883,5,2
2018,Kepler,TOI-136e,3.05,5.4,TOI-136,8,2
2017,Ground,TOI-627d,3.08,5.41,TOI-627,7,1
2023,TESS,TOI-546c,1.63,13.99,TOI-546,1,1
2023,Kepler,WASP-239b,2.85,35.69,WASP-239,5,1
2020,James Webb,TOI-489b,1.56,11.03,TOI-489,8,2
2018,Kepler,Kepler-811c,3.91,35.3,Kepler-811,6,2
2016,Spitzer,HD-145c,2.45,2.59,HD-145,7,2
2014,Spitzer,LHS-41e,2.11,18.37,LHS-41,5,1
2020,James Webb,Kepler-246c,0.64,28.22,Kepler-246,4,1
2011,James Webb,WASP-560b,3.73,43.01,WASP-560,6,2
2023,Ground,WASP-298e,0.68,14.63,WASP-298,3,1
2017,TESS,Kepler-938c,3.3,8.36,Kepler-938,4,1
2024,TESS,LHS-793d,4.46,2.8,LHS-793,2,2
2016,James Webb,WASP-32e,4.41,33.34,WASP-32,8,1
2019,James Webb,Kepler-9d,1.51,42.78,Kepler-9,8,2
2023,James Webb,LHS-972b,2.11,20.81,LHS-972,2,1
2019,Kepler,TRAPPIST-578c,2.83,47.91,TRAPPIST-578,7,1
2011,Kepler,TOI-12c,0.63,44.61,TOI-12,8,2
2022,TESS,TRAPPIST-540b,4.5,42.6,TRAPPIST-540,2,2
2014,James Webb,Kepler-881f,4.16,29.34,Kepler-881,8,2
2018,Ground,TRAPPIST-732c,0.74,45.82,TRAPPIST-732,4,1
2018,James Webb,WASP-671f,1.42,47.3,WASP-671,3,1
2011,Ground,HD-95d,2.43,43.56,HD-95,7,1
2021,Spitzer,HD-939d,1.17,18.31,HD-939,6,1
2012,TESS,TOI-119c,1.36,22.5,TOI-119,8,2
2024,Spitzer,TRAPPIST-751e,4.08,46.33,TRAPPIST-751,1,1
2019,Kepler,TOI-264d,1.65,24.67,TOI-264,4,2
2017,Spitzer,TOI-358c,3.8,31.69,TOI-358,4,2
2015,Ground,HD-702d,0.87,20.65,HD-702,5,1
2015,Spitzer,Kepler-494b,2.04,43.24,Kepler-494,4,2
2023,James Webb,HD-916b,0.85,12.79,HD-916,2,1
2013,Hubble,WASP-767b,4.97,32.16,WASP-767,3,2
2021,Spitzer,WASP-595d,2.14,24.51,WASP-595,7,1
2018,Spitzer,TRAPPIST-675d,3.39,44.86,TRAPPIST-675,1,1
2014,Ground,HD-348d,1.29,4.35,HD-348,1,2
2016,TESS,HD-858d,4.05,20.52,HD-858,3,1
2023,James Webb,LHS-826c,4.83,15.77,LHS-826,5,2
2017,James Webb,Kepler-698f,3.45,4.2,Kepler-698,3,1
2021,Kepler,TRAPPIST-531f,1.42,20.54,TRAPPIST-531,8,2
2015,Ground,LHS-300d,1.69,27.47,LHS-300,1,1
2023,TESS,HD-8d,4.4,19.44,HD-8,3,2
2015,Ground,Kepler-912d,1.55,35.26,Kepler-912,8,1
2013,TESS,TOI-991f,2.09,23.04,TOI-991,8,1
2021,Spitzer,WASP-598d,1.99,0.51,WASP-598,5,2
2015,Spitzer,WASP-252f,4.37,21.38,WASP-252,3,1
2010,Kepler,TOI-635f,0.72,42.6,TOI-635,5,2
2023,Ground,WASP-92d,1.85,44.75,WASP-92,6,2
2018,TESS,Kepler-870b,1.54,47.57,Kepler-870,6,1
2017,TESS,LHS-465f,5.0,12.18,LHS-465,1,2
2011,Kepler,WASP-94f,1.27,22.4,WASP-94,1,2
2011,Kepler,WASP-209e,1.51,26.84,WASP-209,2,1
2015,TESS,LHS-799b,1.57,18.46,LHS-799,8,2
2020,Spitzer,TOI-812c,3.82,39.65,TOI-812,8,2
2014,Ground,WASP-51b,0.66,18.57,WASP-51,4,1
2015,Ground,Kepler-400b,2.22,32.47,Kepler-400,4,2
2015,Hubble,TOI-645e,1.05,34.37,TOI-645,7,1
2020,Hubble,TRAPPIST-100b,2.93,34.85,TRAPPIST-100,5,2
2018,TESS,HD-550d,4.03,43.89,HD-550,6,2
2012,TESS,WASP-461b,0.54,43.06,WASP-461,3,1
2018,Ground,HD-898e,2.53,33.15,HD-898,7,2
2017,Ground,HD-999d,3.96,1.81,HD-999,3,1
2014,Kepler,TRAPPIST-865b,2.26,44.25,TRAPPIST-865,6,2
2017,James Webb,HD-782c,1.97,34.26,HD-782,4,1
2011,James Webb,LHS-634b,1.66,25.23,LHS-634,7,2
2019,Ground,WASP-654e,2.81,46.5,WASP-654,5,1
2022,Spitzer,TOI-13b,4.73,7.83,TOI-13,4,2
2017,James Webb,TRAPPIST-867b,4.12,10.66,TRAPPIST-867,7,1
2013,Hubble,TOI-709b,4.29,40.26,TOI-709,2,1
2021,TESS,WASP-615b,0.75,49.28,WASP-615,5,2
2010,James Webb,Kepler-258b,4.47,16.91,Kepler-258,5,1
2011,Kepler,TOI-181e,0.53,19.62,TOI-181,6,1
2021,Spitzer,WASP-380b,4.86,1.07,WASP-380,6,2
2022,James Webb,LHS-225f,2.37,19.53,LHS-225,8,2
2019,Kepler,TOI-113f,1.16,2.84,TOI-113,4,2
2021,Spitzer,LHS-437b,4.51,9.46,LHS-437,2,1
2022,TESS,TRAPPIST-56c,0.73,17.64,TRAPPIST-56,2,1
2023,Kepler,TOI-655c,4.38,20.99,TOI-655,1,2
2012,TESS,TRAPPIST-815e,1.83,6.15,TRAPPIST-815,7,2
2012,Spitzer,LHS-673e,3.16,42.43,LHS-673,6,1
2015,Kepler,TRAPPIST-574c,1.7,7.16,TRAPPIST-574,4,1
2023,James Webb,HD-56c,3.03,40.17,HD-56,1,2
2018,TESS,TOI-360c,0.59,19.38,TOI-360,6,1
2016,Spitzer,TOI-700f,4.94,11.34,TOI-700,3,2
2011,James Webb,TRAPPIST-133e,2.27,18.67,TRAPPIST-133,2,1
2018,TESS,HD-928e,1.93,34.73,HD-928,6,2
2012,Spitzer,TRAPPIST-178f,1.74,8.28,TRAPPIST-178,7,2
2014,Hubble,HD-382c,1.66,6.05,HD-382,6,2
2017,Kepler,Kepler-321c,3.59,34.83,Kepler-321,8,1
2017,Hubble,WASP-655d,1.07,6.4,WASP-655,8,2
2014,Hubble,WASP-545f,1.02,12.13,WASP-545,1,2
2018,James Webb,TRAPPIST-911e,2.22,42.31,TRAPPIST-911,1,2
2010,TESS,Kepler-23d,4.65,18.71,Kepler-23,4,2
2017,Kepler,TRAPPIST-724b,3.35,10.02,TRAPPIST-724,1,1
2014,Ground,TRAPPIST-511c,2.32,5.86,TRAPPIST-511,8,1
2020,Kepler,WASP-636e,2.33,41.93,WASP-636,6,2
2017,Kepler,LHS-834b,2.52,33.81,LHS-834,1,1
2020,TESS,Kepler-555c,1.29,46.58,Kepler-555,4,1
2019,Kepler,HD-983c,3.65,7.96,HD-983,2,2
2013,TESS,Kepler-689e,2.24,8.35,Kepler-689,5,1
2017,TESS,HD-886e,4.78,34.81,HD-886,8,2
2019,Spitzer,TRAPPIST-110c,2.21,46.25,TRAPPIST-110,5,2
2011,Spitzer,TRAPPIST-411f,1.29,13.87,TRAPPIST-411,8,2
2013,James Webb,WASP-302b,4.86,6.15,WASP-302,1,1
2019,Hubble,HD-734f,4.97,14.07,HD-734,7,1
2018,Spitzer,HD-272f,2.15,12.43,HD-272,4,2
2017,Ground,TOI-278f,3.02,47.92,TOI-278,1,2
2012,Kepler,TOI-338d,1.23,0.51,TOI-338,6,1
2022,James Webb,WASP-229e,2.25,12.58,WASP-229,2,1
2013,Hubble,WASP-417c,0.51,47.2,WASP-417,8,2
2019,Kepler,LHS-345e,1.18,15.99,LHS-345,7,1
2023,Spitzer,TRAPPIST-842d,3.94,43.25,TRAPPIST-842,6,1
2023,TESS,HD-483b,0.67,14.3,HD-483,2,2
2012,Ground,Kepler-499f,4.22,25.07,Kepler-499,2,1
2018,TESS,TOI-123b,3.14,31.12,TOI-123,7,2
2011,Kepler,Kepler-243e,1.84,20.11,Kepler-243,4,1
2012,Kepler,TOI-339f,4.57,36.41,TOI-339,1,1
2012,James Webb,HD-376e,4.72,30.84,HD-376,5,1
2012,Kepler,HD-825c,1.52,26.1,HD-825,3,1
2017,Kepler,HD-491d,3.09,40.43,HD-491,2,1
2014,Kepler,Kepler-937f,4.1,14.28,Kepler-937,8,1
2014,TESS,TRAPPIST-659c,0.51,48.83,TRAPPIST-659,1,1
2016,Kepler,TRAPPIST-693f,3.28,8.31,TRAPPIST-693,2,2
2010,Ground,TOI-530c,3.02,19.52,TOI-530,7,1
2023,Kepler,HD-967e,1.16,8.3,HD-967,3,1
2024,Spitzer,WASP-471c,2.68,44.51,WASP-471,5,1
2015,Kepler,HD-727f,3.05,48.3,HD-727,8,2
2017,Ground,LHS-45b,1.57,29.95,LHS-45,7,2
2014,TESS,TOI-760b,2.42,17.84,TOI-760,8,1
2023,Hubble,WASP-785d,0.83,7.37,WASP-785,4,1
2014,Hubble,TOI-791d,3.55,3.6,TOI-791,5,1
2013,James Webb,HD-690c,4.65,0.69,HD-690,1,1
2015,Kepler,WASP-358d,0.78,0.54,WASP-358,4,1
2016,James Webb,Kepler-180b,3.18,49.73,Kepler-180,6,2
2023,Spitzer,LHS-550e,1.11,5.79,LHS-550,1,1
2024,James Webb,WASP-883f,2.03,48.79,WASP-883,1,1
2024,TESS,TRAPPIST-336e,3.28,11.64,TRAPPIST-336,1,2
2011,Spitzer,LHS-387f,2.07,48.51,LHS-387,3,2
2015,TESS,Kepler-349e,4.66,29.29,Kepler-349,4,1
2015,Spitzer,TRAPPIST-475b,2.68,28.09,TRAPPIST-475,8,2
2014,Ground,LHS-891b,4.88,4.46,LHS-891,5,1
2014,Ground,WASP-795b,1.88,27.26,WASP-795,4,1
2014,James Webb,TOI-522e,2.42,43.31,TOI-522,3,2
2021,TESS,TRAPPIST-90e,1.28,44.35,TRAPPIST-90,2,2
2012,Kepler,TOI-319b,2.46,1.18,TOI-319,5,2
2015,Hubble,Kepler-254b,3.79,10.88,Kepler-254,7,2
2018,Kepler,HD-79c,0.58,27.99,HD-79,3,1
2016,Ground,Kepler-529e,4.19,0.32,Kepler-529,4,2
2021,TESS,Kepler-670c,2.68,3.36,Kepler-670,7,2
2018,Ground,LHS-559b,4.08,7.36,LHS-559,1,1
2022,Ground,LHS-538b,4.3,37.13,LHS-538,6,1
2014,James Webb,TRAPPIST-428b,3.8,39.53,TRAPPIST-428,4,1
2010,James Webb,LHS-813e,4.79,19.65,LHS-813,7,2
2010,TESS,TRAPPIST-948d,1.38,19.71,TRAPPIST-948,5,2
2017,Ground,Kepler-348e,2.85,20.16,Kepler-348,3,2
2017,Spitzer,HD-932c,2.2,32.65,HD-932,2,1
2023,TESS,WASP-241b,2.25,33.17,WASP-241,8,1
2011,Ground,Kepler-538c,2.92,29.64,Kepler-538,2,2
2016,Spitzer,LHS-259f,3.93,8.41,LHS-259,2,1
2021,Spitzer,Kepler-828d,0.65,19.75,Kepler-828,4,1
2016,Hubble,LHS-921b,4.87,6.75,LHS-921,8,1
2021,Hubble,TOI-81b,3.88,12.63,TOI-81,1,2
2017,Hubble,WASP-471c,4.13,10.63,WASP-471,8,2
2016,Ground,Kepler-894f,0.62,4.6,Kepler-894,2,1
2023,James Webb,WASP-457b,3.38,25.67,WASP-457,4,2
2013,Hubble,LHS-272c,2.55,4.86,LHS-272,5,1
2011,Hubble,WASP-98d,2.52,47.12,WASP-98,3,1
2024,Ground,HD-367e,2.36,4.65,HD-367,7,1
2016,TESS,TRAPPIST-626b,4.94,3.91,TRAPPIST-626,4,1
2020,Kepler,Kepler-967c,2.93,8.63,Kepler-967,2,2
2024,Hubble,Kepler-757b,4.47,0.46,Kepler-757,2,1
2015,TESS,HD-262c,3.76,6.2,HD-262,2,1
2019,James Webb,WASP-990f,1.16,49.32,WASP-990,1,1
2015,Kepler,HD-940d,3.13,1.42,HD-940,3,1
2011,Ground,TRAPPIST-886b,1.92,4.73,TRAPPIST-886,7,2
2014,Spitzer,HD-339e,3.81,27.16,HD-339,1,2
2015,Spitzer,Kepler-901d,1.12,13.43,Kepler-901,1,1
2012,James Webb,Kepler-553b,4.26,45.24,Kepler-553,8,2
2012,Spitzer,TRAPPIST-936e,2.44,12.27,TRAPPIST-936,2,2
2017,TESS,LHS-816c,2.04,9.76,LHS-816,8,1
2014,Ground,TOI-623b,2.51,45.5,TOI-623,2,2
2022,Spitzer,HD-340d,2.75,15.51,HD-340,7,2
2022,Hubble,HD-455b,2.31,44.31,HD-455,5,2
2018,Hubble,WASP-906c,2.39,34.18,WASP-906,8,2
2022,Hubble,WASP-321f,1.21,4.8,WASP-321,7,1
2024,James Webb,LHS-536f,1.79,21.4,LHS-536,1,1
2012,TESS,TOI-62d,2.63,47.58,TOI-62,1,1
2010,Ground,LHS-851c,4.39,17.21,LHS-851,2,2
2016,Hubble,TOI-236b,1.18,3.32,TOI-236,8,1
2020,Ground,HD-782d,2.57,38.75,HD-782,8,1
2014,Ground,LHS-474e,4.74,26.28,LHS-474,3,1
2013,Spitzer,Kepler-885f,1.28,19.69,Kepler-885,4,2
2010,James Webb,TOI-385c,1.98,44.1,TOI-385,7,2
2015,James Webb,HD-949e,4.58,12.57,HD-949,1,2
2012,Kepler,Kepler-285b,1.83,45.04,Kepler-285,2,1
2016,Kepler,Kepler-537f,1.7,6.63,Kepler-537,4,2
2013,Spitzer,TOI-139b,3.93,8.22,TOI-139,2,2
2017,TESS,WASP-207b,3.79,40.92,WASP-207,4,1
2021,Kepler,TRAPPIST-830c,2.95,46.32,TRAPPIST-830,2,1
2014,TESS,Kepler-168e,1.12,26.44,Kepler-168,8,2
2016,Kepler,TRAPPIST-218b,1.21,1.27,TRAPPIST-218,1,1
2022,Spitzer,HD-198e,1.19,6.82,HD-198,8,1
2019,Hubble,TOI-948c,3.19,30.23,TOI-948,6,1
2017,Ground,WASP-946c,4.92,41.18,WASP-946,2,1
2022,Hubble,HD-250b,3.24,48.34,HD-250,1,2
2015,Hubble,LHS-118e,4.89,20.26,LHS-118,7,1
2017,Ground,TRAPPIST-839c,2.41,20.7,TRAPPIST-839,4,2
2015,Kepler,TRAPPIST-564d,3.43,43.06,TRAPPIST-564,5,1
2010,Kepler,HD-534d,0.99,17.85,HD-534,3,2
2019,James Webb,TRAPPIST-537f,2.72,15.06,TRAPPIST-537,3,1
2019,Kepler,TRAPPIST-509d,3.19,24.91,TRAPPIST-509,4,2
2015,James Webb,TOI-260d,4.87,36.98,TOI-260,6,1
2018,James Webb,LHS-696b,2.96,37.11,LHS-696,7,1
2013,TESS,Kepler-888b,1.0,22.65,Kepler-888,2,1
2021,Hubble,TOI-470d,1.0,25.58,TOI-470,6,2
2023,Spitzer,HD-19f,2.18,20.11,HD-19,3,2
2013,TESS,HD-310f,3.09,47.54,HD-310,4,1
2012,Spitzer,LHS-975b,3.57,40.95,LHS-975,7,1
2022,TESS,TOI-676c,3.05,48.06,TOI-676,2,2
2018,Kepler,WASP-602c,4.61,29.94,WASP-602,1,2
2015,Hubble,LHS-261c,2.31,11.55,LHS-261,1,1
2021,TESS,TOI-991c,4.14,20.99,TOI-991,2,2
2013,TESS,LHS-996f,4.97,30.62,LHS-996,2,1
